"Date","Price","Open","High","Low","Vol.","Change %"
"07/11/2014","4,632.53","4,636.89","4,638.80","4,606.81","475.31M","-0.13%"
"06/11/2014","4,638.47","4,616.78","4,639.17","4,604.76","482.30M","0.38%"
"05/11/2014","4,620.72","4,649.47","4,650.39","4,607.73","497.48M","-0.06%"
"04/11/2014","4,623.64","4,623.77","4,635.95","4,594.91","480.85M","-0.33%"
"03/11/2014","4,638.91","4,633.71","4,654.19","4,627.42","522.97M","0.18%"
"31/10/2014","4,630.74","4,639.45","4,641.51","4,616.58","659.76M","1.41%"
"30/10/2014","4,566.14","4,532.10","4,575.50","4,521.79","516.18M","0.37%"
"29/10/2014","4,549.23","4,551.37","4,564.44","4,517.02","543.05M","-0.33%"
"28/10/2014","4,564.29","4,505.73","4,564.29","4,505.11","507.39M","1.75%"
"27/10/2014","4,485.93","4,469.02","4,489.60","4,450.29","413.39M","0.05%"
"24/10/2014","4,483.72","4,459.46","4,486.26","4,445.85","446.47M","0.69%"
"23/10/2014","4,452.79","4,427.44","4,475.55","4,421.56","508.53M","1.60%"
"22/10/2014","4,382.85","4,429.16","4,435.86","4,381.28","501.41M","-0.83%"
"21/10/2014","4,419.48","4,359.17","4,419.48","4,356.10","492.35M","2.40%"
"20/10/2014","4,316.07","4,254.16","4,316.87","4,248.22","456.92M","1.35%"
"17/10/2014","4,258.44","4,275.09","4,296.11","4,241.67","667.36M","0.97%"
"16/10/2014","4,217.39","4,133.25","4,246.01","4,131.65","692.06M","0.05%"
"15/10/2014","4,215.32","4,154.10","4,231.54","4,116.60","794.03M","-0.28%"
"14/10/2014","4,227.17","4,246.23","4,281.34","4,212.82","652.38M","0.32%"
"13/10/2014","4,213.66","4,274.90","4,303.82","4,212.86","631.03M","-1.46%"
"10/10/2014","4,276.24","4,354.63","4,380.51","4,276.24","714.33M","-2.33%"
"09/10/2014","4,378.34","4,458.29","4,464.13","4,377.28","552.97M","-2.02%"
"08/10/2014","4,468.59","4,385.70","4,473.73","4,355.34","595.04M","1.90%"
"07/10/2014","4,385.20","4,433.91","4,441.76","4,385.15","510.60M","-1.56%"
"06/10/2014","4,454.80","4,492.40","4,496.26","4,444.10","463.15M","-0.47%"
"03/10/2014","4,475.62","4,456.81","4,488.07","4,445.72","459.89M","1.03%"
"02/10/2014","4,430.19","4,421.25","4,441.95","4,367.74","512.30M","0.18%"
"01/10/2014","4,422.09","4,486.65","4,486.79","4,409.30","575.57M","-1.59%"
"30/09/2014","4,493.39","4,512.64","4,522.06","4,483.91","573.84M","-0.28%"
