"Date","Price","Open","High","Low","Vol.","Change %"
"16/03/2026","22,374.18","22,340.39","22,521.59","22,316.63","1.45B","1.22%"
"13/03/2026","22,105.36","22,425.70","22,521.38","22,069.24","1.41B","-0.93%"
"12/03/2026","22,311.98","22,526.59","22,550.75","22,290.48","1.47B","-1.78%"
"11/03/2026","22,716.13","22,771.27","22,877.71","22,602.33","1.38B","0.08%"
"10/03/2026","22,697.10","22,722.94","22,906.72","22,608.23","1.44B","0.01%"
"09/03/2026","22,695.95","22,184.05","22,741.03","22,061.97","1.67B","1.38%"
"06/03/2026","22,387.68","22,421.17","22,614.41","22,328.13","1.59B","-1.59%"
"05/03/2026","22,748.99","22,707.47","22,877.02","22,500.29","1.74B","-0.26%"
"04/03/2026","22,807.48","22,620.89","22,891.88","22,570.67","1.61B","1.29%"
"03/03/2026","22,516.69","22,292.37","22,601.59","22,124.78","1.64B","-1.02%"
"02/03/2026","22,748.86","22,322.12","22,802.80","22,306.08","1.55B","0.36%"
"27/02/2026","22,668.21","22,615.43","22,735.78","22,538.30","2.14B","-0.92%"
"26/02/2026","22,878.38","23,100.58","23,109.46","22,670.80","1.66B","-1.18%"
"25/02/2026","23,152.08","23,005.01","23,169.68","23,004.69","1.50B","1.26%"
"24/02/2026","22,863.68","22,641.60","22,895.48","22,528.26","1.44B","1.04%"
"23/02/2026","22,627.27","22,840.97","22,893.22","22,547.12","1.43B","-1.13%"
"20/02/2026","22,886.07","22,542.28","22,948.87","22,539.05","1.54B","0.90%"
"19/02/2026","22,682.73","22,639.88","22,768.83","22,583.61","1.27B","-0.31%"
"18/02/2026","22,753.63","22,629.85","22,895.96","22,597.77","1.41B","0.78%"
"17/02/2026","22,578.38","22,394.76","22,690.83","22,256.76","1.42B","0.14%"
"13/02/2026","22,546.67","22,561.46","22,742.06","22,402.38","1.48B","-0.22%"
"12/02/2026","22,597.15","23,142.87","23,161.60","22,548.02","1.77B","-2.03%"
"11/02/2026","23,066.47","23,278.29","23,320.62","22,902.01","1.65B","-0.16%"
"10/02/2026","23,102.47","23,271.22","23,310.73","23,089.10","1.50B","-0.59%"
"09/02/2026","23,238.67","22,952.24","23,314.67","22,878.37","1.53B","0.90%"
"06/02/2026","23,031.21","22,625.30","23,088.46","22,586.40","1.82B","2.18%"
"05/02/2026","22,540.59","22,604.02","22,841.28","22,461.14","1.92B","-1.59%"
"04/02/2026","22,904.58","23,217.02","23,270.07","22,684.51","2.01B","-1.51%"
"03/02/2026","23,255.19","23,667.44","23,691.60","23,027.21","1.84B","-1.43%"
"02/02/2026","23,592.11","23,370.54","23,686.83","23,356.40","1.56B","0.56%"
"30/01/2026","23,461.82","23,578.96","23,662.25","23,351.55","2.04B","-0.94%"
"29/01/2026","23,685.12","23,830.92","23,840.55","23,232.78","1.71B","-0.72%"
"28/01/2026","23,857.45","23,965.11","23,988.27","23,775.49","1.47B","0.17%"
"27/01/2026","23,817.10","23,734.75","23,865.26","23,694.38","1.40B","0.91%"
"26/01/2026","23,601.36","23,529.28","23,688.94","23,486.08","1.42B","0.43%"
"23/01/2026","23,501.24","23,440.92","23,610.74","23,374.26","1.49B","0.28%"
"22/01/2026","23,436.02","23,440.71","23,503.16","23,335.15","1.58B","0.91%"
"21/01/2026","23,224.82","23,017.68","23,383.24","22,927.88","1.70B","1.18%"
"20/01/2026","22,954.32","23,142.69","23,236.05","22,916.83","1.77B","-2.39%"
"16/01/2026","23,515.39","23,639.69","23,664.26","23,446.81","2.00B","-0.06%"
"15/01/2026","23,530.02","23,693.97","23,721.11","23,502.18","1.56B","0.25%"
"14/01/2026","23,471.75","23,563.92","23,590.20","23,306.66","1.69B","-1.00%"
"13/01/2026","23,709.87","23,735.12","23,813.30","23,607.59","1.55B","-0.10%"
"12/01/2026","23,733.90","23,576.88","23,804.04","23,562.97","1.47B","0.26%"
"09/01/2026","23,671.35","23,496.21","23,721.15","23,426.48","1.41B","0.81%"
"08/01/2026","23,480.02","23,548.88","23,558.17","23,353.46","1.42B","-0.44%"
"07/01/2026","23,584.28","23,544.89","23,723.37","23,504.21","1.44B","0.16%"
"06/01/2026","23,547.17","23,446.96","23,559.15","23,389.57","1.59B","0.65%"
"05/01/2026","23,395.82","23,449.67","23,476.51","23,332.23","1.58B","0.69%"
"02/01/2026","23,235.63","23,481.49","23,585.96","23,119.49","1.35B","-0.03%"
"31/12/2025","23,241.99","23,420.85","23,445.26","23,237.78","1.14B","-0.76%"
"30/12/2025","23,419.08","23,465.67","23,521.05","23,414.83","1.05B","-0.24%"
"29/12/2025","23,474.35","23,414.68","23,531.02","23,397.52","1.09B","-0.50%"
"26/12/2025","23,593.10","23,645.91","23,665.15","23,567.86","853.27M","-0.09%"
"24/12/2025","23,613.31","23,555.95","23,621.72","23,527.97","615.75M","0.22%"
"23/12/2025","23,561.84","23,407.70","23,563.46","23,377.49","1.21B","0.57%"
"22/12/2025","23,428.83","23,450.53","23,476.50","23,362.93","1.35B","0.52%"
"19/12/2025","23,307.62","23,121.90","23,307.91","23,106.19","4.42B","1.31%"
"18/12/2025","23,006.36","23,012.06","23,149.61","22,906.23","1.57B","1.38%"
"17/12/2025","22,693.32","23,135.61","23,159.20","22,692.00","1.69B","-1.81%"
"16/12/2025","23,111.46","22,981.82","23,162.60","22,920.66","1.52B","0.23%"
"15/12/2025","23,057.41","23,330.04","23,345.56","23,012.00","1.67B","-0.59%"
"12/12/2025","23,195.17","23,488.87","23,554.89","23,094.51","1.56B","-1.69%"
"11/12/2025","23,593.86","23,509.22","23,606.70","23,308.95","1.43B","-0.25%"
"10/12/2025","23,654.15","23,536.00","23,704.08","23,435.17","1.57B","0.33%"
"09/12/2025","23,576.49","23,504.61","23,616.46","23,449.73","1.29B","0.13%"
"08/12/2025","23,545.90","23,638.22","23,698.93","23,455.05","1.48B","-0.14%"
"05/12/2025","23,578.13","23,567.77","23,680.03","23,506.00","1.40B","0.31%"
"04/12/2025","23,505.14","23,527.30","23,528.53","23,372.33","1.35B","0.22%"
"03/12/2025","23,454.09","23,315.58","23,499.93","23,271.83","1.42B","0.17%"
"02/12/2025","23,413.67","23,379.75","23,526.23","23,286.46","1.45B","0.59%"
"01/12/2025","23,275.92","23,172.34","23,363.85","23,110.21","1.44B","-0.38%"
"28/11/2025","23,365.69","23,291.59","23,365.79","23,250.51","869.35M","0.65%"
"26/11/2025","23,214.69","23,163.19","23,280.58","23,074.39","1.42B","0.82%"
"25/11/2025","23,025.59","22,802.85","23,070.09","22,587.11","1.48B","0.67%"
"24/11/2025","22,872.01","22,482.16","22,916.40","22,478.27","2.21B","2.69%"
"21/11/2025","22,273.08","22,162.83","22,531.84","21,898.29","1.91B","0.88%"
"20/11/2025","22,078.05","23,057.00","23,147.33","22,043.20","1.79B","-2.15%"
"19/11/2025","22,564.23","22,459.27","22,821.24","22,385.22","1.49B","0.59%"
"18/11/2025","22,432.85","22,565.90","22,643.01","22,231.15","1.60B","-1.21%"
"17/11/2025","22,708.07","22,788.32","23,044.55","22,559.51","1.56B","-0.84%"
"14/11/2025","22,900.59","22,544.72","23,073.18","22,436.79","1.66B","0.13%"
"13/11/2025","22,870.36","23,262.64","23,264.27","22,796.07","1.78B","-2.29%"
"12/11/2025","23,406.46","23,563.84","23,564.09","23,278.30","1.59B","-0.26%"
"11/11/2025","23,468.30","23,407.72","23,508.44","23,315.28","1.45B","-0.25%"
"10/11/2025","23,527.17","23,354.85","23,569.62","23,290.05","1.65B","2.27%"
"07/11/2025","23,004.54","22,892.92","23,009.91","22,563.42","1.80B","-0.21%"
"06/11/2025","23,053.99","23,461.29","23,469.55","23,011.06","1.82B","-1.90%"
"05/11/2025","23,499.80","23,358.07","23,636.53","23,286.87","1.72B","0.65%"
"04/11/2025","23,348.64","23,458.21","23,644.15","23,333.32","1.71B","-2.04%"
"03/11/2025","23,834.72","23,951.91","23,976.84","23,764.87","1.70B","0.46%"
"31/10/2025","23,724.96","23,941.78","23,946.23","23,628.82","1.71B","0.61%"
"30/10/2025","23,581.14","23,793.08","23,846.13","23,578.47","1.67B","-1.57%"
"29/10/2025","23,958.47","23,987.29","24,019.99","23,763.99","1.73B","0.55%"
"28/10/2025","23,827.49","23,766.46","23,901.36","23,675.19","1.61B","0.80%"
"27/10/2025","23,637.46","23,537.32","23,658.66","23,493.96","1.67B","1.86%"
"24/10/2025","23,204.87","23,143.23","23,261.26","23,127.96","1.55B","1.15%"
"23/10/2025","22,941.80","22,751.33","22,983.46","22,732.18","1.49B","0.89%"
"22/10/2025","22,740.40","22,940.79","22,978.40","22,514.08","2.06B","-0.93%"
"21/10/2025","22,953.67","22,984.55","23,010.35","22,894.42","1.67B","-0.16%"
"20/10/2025","22,990.54","22,844.82","23,031.87","22,841.00","1.57B","1.37%"
"17/10/2025","22,679.97","22,489.81","22,736.01","22,396.65","1.67B","0.52%"
"16/10/2025","22,562.54","22,764.40","22,886.87","22,404.69","1.83B","-0.47%"
"15/10/2025","22,670.08","22,738.50","22,841.69","22,427.79","1.88B","0.66%"
"14/10/2025","22,521.70","22,388.04","22,691.07","22,213.73","1.68B","-0.76%"
"13/10/2025","22,694.61","22,578.67","22,718.75","22,499.49","1.64B","2.21%"
"10/10/2025","22,204.43","23,043.52","23,119.91","22,193.07","2.16B","-3.56%"
"09/10/2025","23,024.63","23,045.33","23,062.62","22,899.16","1.74B","-0.08%"
"08/10/2025","23,043.38","22,852.32","23,045.14","22,845.42","1.92B","1.12%"
"07/10/2025","22,788.36","22,972.37","23,006.07","22,718.76","1.83B","-0.67%"
"06/10/2025","22,941.67","22,894.35","22,991.72","22,827.56","1.83B","0.71%"
"03/10/2025","22,780.51","22,886.16","22,925.43","22,695.82","1.77B","-0.28%"
"02/10/2025","22,844.05","22,885.90","22,900.60","22,729.75","1.60B","0.39%"
"01/10/2025","22,755.16","22,530.95","22,782.58","22,516.74","1.66B","0.42%"
"30/09/2025","22,660.01","22,580.36","22,671.39","22,493.96","1.72B","0.30%"
"29/09/2025","22,591.15","22,605.30","22,704.90","22,536.05","1.66B","0.48%"
"26/09/2025","22,484.07","22,403.27","22,488.18","22,285.44","1.40B","0.44%"
"25/09/2025","22,384.70","22,318.77","22,456.78","22,185.87","1.62B","-0.50%"
"24/09/2025","22,497.86","22,656.02","22,657.45","22,397.00","1.62B","-0.33%"
"23/09/2025","22,573.47","22,782.72","22,785.13","22,539.04","1.74B","-0.95%"
"22/09/2025","22,788.98","22,606.59","22,801.90","22,590.86","1.78B","0.70%"
"19/09/2025","22,631.48","22,554.31","22,645.11","22,497.71","4.47B","0.72%"
"18/09/2025","22,470.72","22,439.11","22,540.93","22,358.48","1.82B","0.94%"
"17/09/2025","22,261.33","22,333.02","22,339.54","22,058.92","1.68B","-0.33%"
"16/09/2025","22,333.96","22,397.50","22,397.50","22,308.78","1.49B","-0.07%"
"15/09/2025","22,348.75","22,243.20","22,352.25","22,233.00","1.51B","0.94%"
"12/09/2025","22,141.10","22,078.63","22,182.34","22,031.62","1.49B","0.44%"
"11/09/2025","22,043.07","21,977.52","22,059.71","21,908.81","1.68B","0.72%"
"10/09/2025","21,886.06","21,980.60","22,000.97","21,810.84","1.56B","0.03%"
"09/09/2025","21,879.49","21,858.17","21,891.42","21,731.48","1.38B","0.37%"
"08/09/2025","21,798.70","21,806.22","21,885.62","21,776.24","1.42B","0.45%"
"05/09/2025","21,700.39","21,860.44","21,878.81","21,534.72","1.40B","-0.03%"
"04/09/2025","21,707.69","21,539.91","21,711.96","21,469.40","1.30B","0.98%"
"03/09/2025","21,497.73","21,461.63","21,553.98","21,370.98","1.33B","1.02%"
"02/09/2025","21,279.63","21,086.57","21,293.69","21,033.05","1.42B","-0.82%"
"29/08/2025","21,455.55","21,630.33","21,631.15","21,397.98","1.38B","-1.15%"
"28/08/2025","21,705.16","21,619.27","21,742.46","21,534.94","1.28B","0.53%"
"27/08/2025","21,590.14","21,526.33","21,616.17","21,476.30","1.45B","0.21%"
"26/08/2025","21,544.27","21,443.63","21,550.93","21,389.10","1.77B","0.44%"
"25/08/2025","21,449.29","21,466.47","21,572.18","21,400.09","1.34B","-0.22%"
"22/08/2025","21,496.54","21,139.83","21,545.43","21,092.36","1.55B","1.88%"
"21/08/2025","21,100.31","21,112.52","21,198.76","21,013.53","1.06B","-0.34%"
"20/08/2025","21,172.86","21,269.67","21,269.67","20,905.99","1.31B","-0.67%"
"19/08/2025","21,314.95","21,607.45","21,610.24","21,277.71","1.36B","-1.46%"
"18/08/2025","21,629.77","21,616.82","21,651.50","21,559.33","1.38B","0.03%"
"15/08/2025","21,622.98","21,709.34","21,716.18","21,567.46","1.54B","-0.40%"
"14/08/2025","21,710.67","21,649.21","21,766.29","21,627.13","1.45B","-0.01%"
"13/08/2025","21,713.14","21,764.55","21,803.75","21,645.14","1.58B","0.14%"
"12/08/2025","21,681.90","21,507.44","21,689.68","21,386.25","1.45B","1.39%"
"11/08/2025","21,385.40","21,459.65","21,549.73","21,346.62","1.53B","-0.30%"
"08/08/2025","21,450.02","21,316.37","21,464.53","21,284.97","1.43B","0.98%"
"07/08/2025","21,242.70","21,325.01","21,408.15","21,090.05","1.51B","0.35%"
"06/08/2025","21,169.42","20,955.22","21,183.88","20,937.49","1.48B","1.21%"
"05/08/2025","20,916.55","21,092.10","21,138.72","20,893.29","1.40B","-0.65%"
"04/08/2025","21,053.58","20,853.91","21,055.24","20,833.86","1.31B","1.95%"
"01/08/2025","20,650.13","20,830.64","20,865.63","20,560.17","1.55B","-2.24%"
"31/07/2025","21,122.45","21,457.48","21,457.48","21,078.67","1.72B","-0.03%"
"30/07/2025","21,129.67","21,140.40","21,230.88","21,016.92","1.48B","0.15%"
"29/07/2025","21,098.29","21,286.72","21,303.96","21,081.69","1.49B","-0.38%"
"28/07/2025","21,178.58","21,176.40","21,202.18","21,122.12","1.43B","0.33%"
"25/07/2025","21,108.32","21,059.94","21,159.80","21,036.85","1.39B","0.24%"
"24/07/2025","21,057.96","21,083.82","21,113.10","21,001.68","1.59B","0.18%"
"23/07/2025","21,020.02","20,966.47","21,023.85","20,870.67","1.59B","0.61%"
"22/07/2025","20,892.69","20,982.21","20,985.34","20,750.90","1.60B","-0.39%"
"21/07/2025","20,974.18","20,960.33","21,077.37","20,957.44","1.70B","0.38%"
"18/07/2025","20,895.65","20,959.57","20,980.56","20,846.12","1.59B","0.05%"
"17/07/2025","20,885.65","20,760.32","20,911.83","20,735.55","1.74B","0.75%"
"16/07/2025","20,730.49","20,717.81","20,751.05","20,507.06","1.50B","0.25%"
"15/07/2025","20,677.80","20,822.76","20,836.04","20,670.58","1.38B","0.18%"
"14/07/2025","20,640.33","20,592.56","20,672.34","20,492.63","1.38B","0.27%"
"11/07/2025","20,585.53","20,562.88","20,647.97","20,509.75","1.31B","-0.22%"
"10/07/2025","20,630.66","20,636.48","20,655.39","20,495.14","1.43B","0.09%"
"09/07/2025","20,611.34","20,522.09","20,645.41","20,486.38","1.41B","0.94%"
"08/07/2025","20,418.46","20,466.93","20,480.89","20,377.36","1.50B","0.03%"
"07/07/2025","20,412.52","20,490.55","20,511.82","20,323.02","1.45B","-0.92%"
"03/07/2025","20,601.10","20,497.66","20,624.51","20,480.22","974.43M","1.02%"
"02/07/2025","20,393.13","20,184.37","20,397.22","20,181.74","1.42B","0.94%"
"01/07/2025","20,202.89","20,290.61","20,339.05","20,105.41","1.46B","-0.82%"
"30/06/2025","20,369.73","20,360.15","20,418.31","20,266.36","1.58B","0.47%"
"27/06/2025","20,273.46","20,217.26","20,311.51","20,095.05","3.66B","0.52%"
"26/06/2025","20,167.91","20,062.19","20,187.15","19,982.48","1.42B","0.97%"
"25/06/2025","19,973.55","20,013.95","20,052.78","19,918.08","1.28B","0.31%"
"24/06/2025","19,912.53","19,809.62","19,946.72","19,795.29","1.45B","1.43%"
"23/06/2025","19,630.97","19,427.01","19,643.70","19,334.98","1.40B","0.94%"
"20/06/2025","19,447.41","19,639.41","19,696.11","19,380.58","2.83B","-0.51%"
"18/06/2025","19,546.27","19,526.92","19,660.77","19,489.56","1.33B","0.13%"
"17/06/2025","19,521.09","19,627.08","19,666.56","19,485.44","1.37B","-0.91%"
"16/06/2025","19,701.21","19,550.75","19,733.31","19,550.75","1.36B","1.52%"
"13/06/2025","19,406.83","19,450.93","19,591.87","19,367.42","1.28B","-1.30%"
"12/06/2025","19,662.48","19,578.87","19,690.61","19,553.56","1.40B","0.24%"
"11/06/2025","19,615.88","19,779.36","19,800.46","19,551.35","1.43B","-0.50%"
"10/06/2025","19,714.99","19,620.11","19,730.38","19,539.09","1.43B","0.63%"
"09/06/2025","19,591.24","19,573.14","19,637.56","19,531.10","1.41B","0.31%"
"06/06/2025","19,529.95","19,526.99","19,593.18","19,464.84","1.21B","1.20%"
"05/06/2025","19,298.45","19,518.20","19,610.51","19,226.21","1.37B","-0.83%"
"04/06/2025","19,460.49","19,434.94","19,493.45","19,359.09","1.21B","0.32%"
"03/06/2025","19,398.96","19,288.66","19,459.28","19,224.70","1.32B","0.81%"
"02/06/2025","19,242.61","19,063.06","19,252.71","18,985.30","1.27B","0.67%"
"30/05/2025","19,113.77","19,131.22","19,157.78","18,847.74","2.09B","-0.32%"
"29/05/2025","19,175.87","19,389.39","19,389.39","19,091.54","1.33B","0.39%"
"28/05/2025","19,100.94","19,232.62","19,276.83","19,084.38","1.24B","-0.51%"
"27/05/2025","19,199.16","19,014.44","19,210.95","18,961.69","1.39B","2.47%"
"23/05/2025","18,737.21","18,622.38","18,841.52","18,599.69","1.21B","-1.00%"
"22/05/2025","18,925.73","18,888.05","19,061.11","18,840.34","1.31B","0.28%"
"21/05/2025","18,872.64","19,002.94","19,241.41","18,799.20","1.49B","-1.41%"
"20/05/2025","19,142.71","19,132.06","19,186.69","19,015.63","1.29B","-0.38%"
"19/05/2025","19,215.46","18,937.42","19,227.22","18,937.42","1.56B","0.02%"
"16/05/2025","19,211.10","19,151.54","19,213.42","19,038.48","1.61B","0.52%"
"15/05/2025","19,112.32","19,031.24","19,207.22","18,967.78","1.47B","-0.18%"
"14/05/2025","19,146.81","19,074.72","19,174.55","19,023.61","1.62B","0.72%"
"13/05/2025","19,010.09","18,761.23","19,065.96","18,745.50","1.56B","1.61%"
"12/05/2025","18,708.34","18,674.55","18,710.22","18,472.71","1.76B","4.35%"
"09/05/2025","17,928.92","18,022.55","18,068.90","17,853.84","1.37B","0.00%"
"08/05/2025","17,928.14","17,920.15","18,096.00","17,776.00","1.46B","1.07%"
"07/05/2025","17,738.16","17,706.83","17,820.29","17,503.01","1.43B","0.27%"
"06/05/2025","17,689.66","17,623.21","17,830.35","17,592.88","1.23B","-0.87%"
"05/05/2025","17,844.24","17,817.01","17,965.64","17,792.08","1.14B","-0.74%"
"02/05/2025","17,977.73","17,868.76","18,048.83","17,812.04","1.30B","1.51%"
"01/05/2025","17,710.74","17,793.14","17,922.83","17,688.11","1.27B","1.52%"
"30/04/2025","17,446.34","17,099.98","17,483.82","16,959.53","1.48B","-0.09%"
"29/04/2025","17,461.32","17,270.76","17,500.41","17,256.20","1.33B","0.55%"
"28/04/2025","17,366.13","17,390.93","17,467.35","17,128.71","1.27B","-0.10%"
"25/04/2025","17,382.94","17,182.11","17,404.49","17,110.72","1.17B","1.26%"
"24/04/2025","17,166.04","16,754.76","17,174.35","16,744.97","1.30B","2.74%"
"23/04/2025","16,708.05","16,880.29","17,029.86","16,642.66","1.41B","2.50%"
"22/04/2025","16,300.42","16,079.94","16,410.56","16,038.73","1.20B","2.71%"
"21/04/2025","15,870.90","16,052.76","16,066.79","15,685.33","1.14B","-2.55%"
"17/04/2025","16,286.45","16,399.97","16,408.51","16,181.17","1.25B","-0.13%"
"16/04/2025","16,307.16","16,499.69","16,600.37","16,066.46","1.34B","-3.07%"
"15/04/2025","16,823.17","16,842.39","16,979.96","16,753.21","1.16B","-0.05%"
"14/04/2025","16,831.48","17,120.44","17,136.55","16,661.26","1.36B","0.64%"
"11/04/2025","16,724.46","16,358.53","16,753.41","16,228.04","1.53B","2.06%"
"10/04/2025","16,387.31","16,635.45","16,712.37","15,894.26","1.88B","-4.31%"
"09/04/2025","17,124.97","15,295.44","17,202.94","15,270.28","2.71B","12.16%"
"08/04/2025","15,267.91","16,181.04","16,316.50","15,053.39","1.92B","-2.15%"
"07/04/2025","15,603.26","14,978.03","16,292.28","14,784.03","2.41B","0.10%"
"04/04/2025","15,587.79","16,045.60","16,128.16","15,575.68","2.15B","-5.82%"
"03/04/2025","16,550.61","16,790.53","16,889.34","16,533.04","1.72B","-5.97%"
"02/04/2025","17,601.05","17,207.01","17,716.52","17,181.27","8.41B","0.87%"
"01/04/2025","17,449.89","17,221.55","17,506.59","17,149.36","1.30B","0.87%"
"31/03/2025","17,299.29","17,045.44","17,334.98","16,854.37","1.62B","-0.14%"
"28/03/2025","17,322.99","17,722.09","17,763.28","17,283.06","1.28B","-2.70%"
"27/03/2025","17,804.03","17,811.24","17,988.02","17,743.80","1.19B","-0.53%"
"26/03/2025","17,899.02","18,217.33","18,236.55","17,837.26","1.26B","-2.04%"
"25/03/2025","18,271.86","18,207.97","18,281.13","18,170.42","1.20B","0.46%"
"24/03/2025","18,188.59","18,046.19","18,210.05","18,030.68","1.34B","2.27%"
"21/03/2025","17,784.05","17,519.84","17,798.06","17,474.81","3.33B","0.52%"
"20/03/2025","17,691.63","17,586.06","17,903.20","17,576.82","1.19B","-0.33%"
"19/03/2025","17,750.79","17,590.12","17,917.54","17,533.94","1.27B","1.41%"
"18/03/2025","17,504.12","17,662.57","17,682.92","17,431.67","1.19B","-1.71%"
"17/03/2025","17,808.66","17,722.54","17,925.94","17,645.87","1.22B","0.31%"
"14/03/2025","17,754.09","17,523.30","17,773.48","17,491.08","1.26B","2.61%"
"13/03/2025","17,303.01","17,598.56","17,621.91","17,239.44","1.26B","-1.96%"
"12/03/2025","17,648.45","17,711.41","17,800.10","17,436.27","1.41B","1.22%"
"11/03/2025","17,436.10","17,443.09","17,687.40","17,238.24","1.56B","-0.18%"
"10/03/2025","17,468.32","17,840.32","17,868.07","17,291.82","1.65B","-4.00%"
"07/03/2025","18,196.22","18,029.85","18,243.58","17,768.59","1.44B","0.70%"
"06/03/2025","18,069.26","18,204.53","18,439.24","17,980.39","1.45B","-2.61%"
"05/03/2025","18,552.73","18,312.96","18,604.47","18,144.73","1.38B","1.46%"
"04/03/2025","18,285.16","18,176.43","18,589.49","17,956.60","1.65B","-0.35%"
"03/03/2025","18,350.19","18,923.36","18,992.30","18,216.63","1.56B","-2.64%"
"28/02/2025","18,847.28","18,477.17","18,861.33","18,372.99","1.96B","1.63%"
"27/02/2025","18,544.42","19,212.36","19,242.69","18,535.22","1.47B","-2.78%"
"26/02/2025","19,075.26","19,109.32","19,286.02","18,966.46","1.32B","0.26%"
"25/02/2025","19,026.39","19,242.61","19,256.35","18,871.52","1.51B","-1.35%"
"24/02/2025","19,286.93","19,590.85","19,644.23","19,275.46","1.46B","-1.21%"
"21/02/2025","19,524.01","20,006.69","20,016.66","19,510.91","1.55B","-2.20%"
"20/02/2025","19,962.36","20,029.19","20,041.15","19,795.02","1.29B","-0.47%"
"19/02/2025","20,056.25","19,994.50","20,099.39","19,928.89","1.36B","0.07%"
"18/02/2025","20,041.26","20,090.55","20,110.12","19,909.74","1.49B","0.07%"
"14/02/2025","20,026.77","19,956.82","20,045.76","19,932.15","1.36B","0.41%"
"13/02/2025","19,945.64","19,696.92","19,952.17","19,675.87","1.40B","1.50%"
"12/02/2025","19,649.95","19,436.51","19,682.51","19,415.48","1.33B","0.03%"
"11/02/2025","19,643.86","19,602.11","19,731.93","19,579.77","1.31B","-0.36%"
"10/02/2025","19,714.27","19,668.18","19,772.04","19,650.79","1.34B","0.98%"
"07/02/2025","19,523.40","19,774.87","19,862.54","19,489.36","1.28B","-1.36%"
"06/02/2025","19,791.99","19,725.83","19,793.36","19,654.11","1.22B","0.51%"
"05/02/2025","19,692.33","19,533.05","19,696.94","19,498.90","1.24B","0.19%"
"04/02/2025","19,654.02","19,422.17","19,666.44","19,408.18","1.19B","1.35%"
"03/02/2025","19,391.96","19,215.38","19,502.13","19,141.15","1.36B","-1.20%"
"31/01/2025","19,627.44","19,832.33","19,969.17","19,575.21","1.44B","-0.28%"
"30/01/2025","19,681.75","19,697.53","19,785.79","19,483.83","1.25B","0.25%"
"29/01/2025","19,632.32","19,695.68","19,699.82","19,479.51","1.16B","-0.51%"
"28/01/2025","19,733.59","19,418.22","19,759.43","19,294.62","1.34B","2.03%"
"27/01/2025","19,341.83","19,234.04","19,514.35","19,204.95","1.68B","-3.07%"
"24/01/2025","19,954.30","20,087.11","20,118.61","19,897.13","1.27B","-0.50%"
"23/01/2025","20,053.68","19,906.99","20,053.68","19,892.55","1.20B","0.22%"
"22/01/2025","20,009.34","19,903.05","20,068.52","19,903.05","1.32B","1.28%"
"21/01/2025","19,756.78","19,734.39","19,789.63","19,551.17","1.44B","0.64%"
"17/01/2025","19,630.20","19,655.55","19,709.64","19,543.32","1.38B","1.51%"
"16/01/2025","19,338.29","19,573.87","19,579.85","19,335.68","1.22B","-0.89%"
"15/01/2025","19,511.23","19,350.31","19,548.90","19,299.32","1.36B","2.45%"
"14/01/2025","19,044.39","19,207.75","19,273.14","18,926.60","1.24B","-0.23%"
"13/01/2025","19,088.10","18,903.66","19,099.97","18,831.91","1.42B","-0.38%"
"10/01/2025","19,161.63","19,312.26","19,315.11","19,018.75","1.47B","-1.63%"
"08/01/2025","19,478.88","19,469.37","19,544.51","19,308.54","1.45B","-0.06%"
"07/01/2025","19,489.68","19,938.08","19,940.21","19,421.02","1.64B","-1.89%"
